Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,24.557,500.6220888151323,24.282,528.4312654011658,24.287,501.90616036865464,23.573,504.52252708490045,23.971,531.0775298794696,23.895,537.4265021348428,24.741,Infinity,24.171,509.34732426876695,24.237,Infinity,24.338,Infinity,24.117,Infinity,24.639,538.172455862112,24.294,Infinity,24.556,Infinity,25.653,495.48453623089273,23.715,Infinity,24.355,Infinity,24.037,Infinity,23.894,541.0192986676203,23.772,526.2671901531198,23.736,Infinity,25.181,503.2371848445165,23.582,483.87331210931785,24.68,Infinity,24.659,491.6011002597919,23.953,513.7750071990845,24.457,Infinity,24.732,516.896399276011,24.866,521.2060021891494,24.153,543.1123147625527,24.853,506.4990083658116,24.138,512.25290141175,23.698,480.0065102663554,25.142,489.6916789706977,23.787,511.8017919989649,23.814,Infinity,24.545,520.3992320550282,24.739,561.8209424336048,23.484,509.156041351682,23.893,511.43801461191714,23.631,518.036434029478,23.604,Infinity,24.318,516.897843122365,24.511,Infinity,24.784,504.9076389939892,24.348,514.7347692959715,24.47,Infinity,23.601,509.98880869035037,24.321,Infinity,25.105,Infinity,24.839,494.6588900064575,24.932,Infinity,23.891,533.1118000550289,24.288,496.2413462936782,23.556,548.1357877043883,24.149,538.9651129664128,23.989,551.5533109925117,24.619,497.29260726720815,24.218,537.8525823316462,24.133,520.0018457522792,24.109,511.45958931826317,23.742,521.8574764095747,24.071,519.9210986849452,23.872,475.9857215657546,23.609,Infinity,24.684,493.3604398450044,23.619,532.5054710987149,24.172,Infinity,24.07,530.3927458454477,24.383,526.0838298536245,24.303,Infinity,24.856,512.6830809991906,24.069,540.778340400929,24.069,498.2425058725105,23.72,521.5962270567816,24.085,524.6826304788531,24.5,516.8864052061136,24.949,512.0748780934742,24.324,Infinity,23.991,523.3204662755342,23.977,Infinity,23.743,537.560849642732,24.684,484.7098637176573,23.883,530.920566318367,24.186,Infinity,25.264,Infinity,24.562,518.6337452917796,24.188,527.7699308119484,24.797,509.4106826707891,23.804,511.45174396567137,24.009,543.7184062922946,23.982,499.2027768566932,23.778,499.29094333346427,23.974,519.2061496800827,24.224,Infinity,24.153,500.4081414902834,24.081,494.0342285816715,24.637,Infinity,24.891,512.4920876814161,24.221
539.7030101577675,24.418,499.69670726185217,24.434,526.1865630823619,23.283,502.8301692347675,24.369,502.4723432846655,24.808,528.4801344807793,23.517,535.215522464634,24.47,Infinity,24.354,508.03441677541656,25.127,Infinity,24.469,Infinity,23.792,549.9846784413807,24.373,Infinity,24.948,Infinity,24.094,Infinity,24.363,493.603770085471,23.39,Infinity,24.333,Infinity,24.093,Infinity,24.732,544.2528506453591,23.916,526.1930575674262,23.993,Infinity,24.474,503.9098395940102,24.637,483.1118596772134,23.518,Infinity,24.279,Infinity,24.381,515.4231049947883,24.728,527.3266272166944,24.048,514.6685878037736,23.244,517.5902902098354,24.253,542.0289113932074,24.27,505.5935305062882,23.879,511.3131068200657,23.415,474.6854924928363,24.518,488.554803149807,23.975,507.4738294968011,24.117,522.0847001747965,24.312,523.0987383833802,24.749,558.428354927125,24.156,Infinity,24.419,512.6186770786859,24.604,514.790245377031,24.504,511.38311956164443,24.25,519.7282486006274,23.33,545.5524385214043,24.498,506.56678476609756,23.701,Infinity,24.885,Infinity,24.331,509.7436002768919,24.106,541.1575369571576,24.452,Infinity,24.324,493.4004795324293,23.712,Infinity,24.122,535.7132768446288,24.042,496.4549463726938,24.537,Infinity,23.948,539.9449224514719,24.139,553.6951900944316,25.202,498.57166122446654,24.517,538.6655177214262,24.209,Infinity,24.261,511.9593674505992,24.28,525.495504980889,23.804,519.5529330652573,23.795,476.0569692988816,24.042,496.5940948939235,24.916,493.458487674231,24.18,Infinity,23.848,524.5055487244562,24.169,Infinity,24.323,Infinity,24.041,Infinity,24.621,512.7750745508425,24.098,537.7332854723265,23.991,495.92534014764794,24.002,Infinity,24.824,Infinity,24.673,516.5688949276431,24.304,Infinity,25.505,Infinity,24.895,525.3670716845588,24.092,521.6810098927577,23.936,539.640206112095,23.987,483.72591557090726,23.639,531.545172093834,23.725,Infinity,24.785,Infinity,23.958,515.9126701718525,24.16,528.8667606475934,23.396,505.6694982812066,23.992,Infinity,24.717,543.6983817702803,23.054,499.2965343072133,24.418,497.5098896131529,24.111,515.9243095962343,23.517,527.7099739074467,24.21,497.9945795993838,24.41,Infinity,24.521,511.43208061730127,25.149,506.49757704706127,24.341
540.0770029325608,25.74,499.742074407677,23.46,527.8282883676418,24.446,499.1873262423597,24.488,504.72962873368726,24.51,527.6954873287497,24.204,535.5401664810812,24.254,Infinity,25.454,510.96829178884093,24.09,Infinity,24.238,Infinity,24.549,550.775299267087,24.256,536.9885719340778,24.01,507.0798252785928,23.861,532.6093667763648,24.568,495.34463676255734,25.013,Infinity,24.074,Infinity,24.016,Infinity,24.657,544.2163669776876,23.995,Infinity,24.626,495.864273849084,24.241,504.9250848390647,23.942,483.9298414664339,24.242,525.4875143159995,24.134,Infinity,25.211,513.6675878375598,24.856,Infinity,24.769,517.0932088390008,23.737,519.9279267551997,23.623,542.0790973141475,24.583,509.60443961116226,23.869,Infinity,24.714,478.5632661689198,24.092,488.78151645915386,23.859,511.3117063563771,24.45,522.0153021569379,24.133,525.304382921815,24.567,559.3207981272595,23.953,Infinity,25.244,508.62889257961876,24.181,517.4750518430129,24.305,Infinity,24.521,516.9114005744837,24.794,Infinity,24.415,508.83006935594585,23.969,514.432410426887,24.239,Infinity,24.033,Infinity,24.626,539.9014689269243,24.536,Infinity,24.954,494.2794123632468,24.197,Infinity,24.011,534.1971232686691,24.886,494.9236959974699,24.77,546.7767912501284,24.045,539.5060270435197,24.554,555.8293102820951,24.442,495.5651198020264,24.705,536.3222979587164,24.269,522.3746964254474,24.665,514.3338599411519,23.636,520.4277125524027,24.058,518.8347860095151,24.787,473.53792260691796,24.512,Infinity,24.428,491.26825430518466,23.927,530.9123587274602,24.378,Infinity,24.168,531.5670316999025,23.713,Infinity,23.726,572.4751347026117,24.375,512.3131509411024,24.042,538.0997145856688,25.498,498.98759402263926,24.09,521.8045305773644,23.551,Infinity,24.761,515.3830411274854,24.113,509.97517129950114,23.83,Infinity,24.651,Infinity,24.426,522.4556094431557,23.939,536.4454052890859,24.881,483.50887111474856,23.797,530.0859781503235,24.881,505.68410425331666,24.768,509.23198524145795,25.292,514.7888932507232,23.612,524.8669113835017,24.157,507.0004718610984,24.436,508.21240880193346,25.175,545.1184142526037,24.325,501.1988604651954,24.518,494.55583815054644,25.049,517.9350582349567,23.562,528.5069922645996,24.507,497.0245257851358,24.02,Infinity,25.32,507.8969782330052,25.14,509.8709683616979,24.855
544.0086958737991,24.334,496.696045121695,24.273,529.1046770810966,24.952,500.9901231382208,24.051,505.44858999613035,24.469,530.4884999587449,23.741,537.786859493541,24.314,Infinity,24.372,Infinity,24.751,Infinity,24.488,Infinity,24.459,Infinity,24.049,538.6558938880688,24.025,Infinity,24.841,Infinity,24.293,495.1006538149489,24.078,Infinity,24.094,Infinity,23.975,Infinity,25.131,544.26654088557,23.144,529.6651912865678,24.36,499.77752388260353,24.277,504.33375816902446,24.19,484.17451511449735,23.951,Infinity,24.433,Infinity,24.457,515.2572890632007,23.873,523.8739008451714,24.618,516.9974359721276,23.866,522.4707051279881,23.482,543.8616824094024,24.039,507.80527919069374,24.51,509.78785999522125,23.528,477.6282179374481,24.877,490.08123759355834,23.711,508.75775909391524,23.78,Infinity,25.189,524.3895053173197,24.201,558.656230921957,24.724,509.7979072064967,24.803,511.04293745988406,24.535,515.9275827122841,24.092,513.0585140869402,24.259,519.7370122002856,23.505,545.0544118209858,24.521,506.3877193555072,23.603,518.1209439331637,24.745,Infinity,23.962,508.39651402494576,24.422,539.4483893506471,23.784,Infinity,25.137,493.22903197537204,23.947,Infinity,24.3,532.3972942177417,24.03,Infinity,24.009,545.8858278773434,23.971,540.9534367611465,24.178,553.6376153776495,24.189,495.96821125920934,23.979,536.0449802880253,23.821,520.5827284065244,23.632,510.7849407633476,23.943,524.999909117831,23.894,519.7979742040195,23.93,474.2580592414974,23.949,495.47454515404735,23.922,492.8547724737697,24.513,532.713525232634,24.605,Infinity,24.417,529.5449544044528,24.755,525.9214237425517,24.307,Infinity,24.305,511.51848250047766,24.311,540.9240759240545,23.813,500.8630314060211,24.44,521.7091082088349,23.664,Infinity,24.26,515.87149414831,24.608,512.8958496917716,24.254,501.63699417082745,25.312,524.6796700911374,24.42,522.5648921606946,24.382,537.0270007629248,24.326,485.23657746802274,24.508,530.2158836991251,23.608,Infinity,24.229,504.68971614679066,24.474,516.8547623280124,23.699,527.0776810594906,24.546,507.2617157382919,23.757,505.6886736855416,24.163,544.1800427209729,24.18,499.3914884239479,23.049,495.5560252649729,24.171,519.8263327981848,24.548,527.0617990475091,24.184,497.1281772354169,23.593,492.78012908480264,24.085,508.5120300181713,24.5,508.1927302581678,24.669
Infinity,25.25,496.14869095563097,24.323,527.1867192154064,24.055,502.30886712962234,23.965,505.1284120145465,24.127,530.3040947596656,23.864,533.5479586421752,23.942,Infinity,24.385,508.00374978482625,24.588,Infinity,25.207,Infinity,24.149,549.6042778445784,24.078,537.4144598987442,24.219,Infinity,25.062,531.583491534638,24.089,494.8038468036899,24.865,Infinity,24.021,Infinity,25.161,520.132610238449,24.207,541.9356714471746,24.264,Infinity,24.859,496.9109107288547,24.512,502.8883919479676,23.975,485.15740722437613,24.134,Infinity,24.53,Infinity,24.743,513.5191029986942,23.657,525.9319043350271,24.225,515.4397538732212,24.27,518.7926495565066,24.085,539.8657420563633,23.811,510.1182184004109,23.8,510.670620612777,23.527,474.6034394155958,24.297,487.7033868860232,23.71,508.5079818336709,23.773,525.2799142579937,24.357,527.3681989010388,23.662,559.8174683743231,23.864,Infinity,25.116,512.0632939496368,24.821,516.6224579595947,23.935,Infinity,24.464,515.9890513808665,24.158,547.4903807820514,24.029,508.1755552045102,24.366,515.3934567563999,24.065,Infinity,23.914,508.82386332489193,24.62,541.3381636295819,24.946,Infinity,24.827,495.53940273194934,23.967,Infinity,23.952,532.9633034747458,24.187,Infinity,23.912,Infinity,24.965,539.7637307843414,24.474,555.864085363253,24.731,494.4365418941166,23.584,537.4663615253529,23.961,520.4906010476451,24.611,512.2763645567194,23.472,Infinity,24.187,518.5446055369508,23.712,470.3852281177135,23.922,Infinity,24.922,491.5844737050164,24.096,530.0274838417383,23.998,Infinity,23.853,531.8252700214466,24.246,526.5143253304391,24.18,574.3138882606381,24.149,512.6478368434649,23.47,Infinity,24.635,497.74590232765036,24.279,520.3268668269111,24.588,Infinity,24.555,517.1303226107685,24.758,510.63412350461533,24.329,Infinity,24.416,Infinity,24.46,Infinity,24.791,538.2777676355249,23.89,Infinity,24.938,530.7278361732454,24.117,Infinity,24.532,507.40289446093504,24.469,516.1241846703786,24.266,528.9925556454319,23.266,506.3549117644569,24.238,507.35601412596344,24.313,544.748497357032,24.048,496.6553877958813,23.921,495.10297392774675,24.098,Infinity,24.359,525.6593693101228,24.206,498.6048260196453,24.646,496.33587540790984,24.16,Infinity,23.757,507.3547233240933,24.274
541.1347136741759,24.827,499.22778097269565,24.069,525.7726170336211,25.012,501.764064865704,23.632,504.76813409700037,24.755,531.6391719724365,23.549,534.4827531439075,24.475,Infinity,24.782,510.86760533385973,24.057,Infinity,24.65,Infinity,24.132,Infinity,24.956,538.8050339580863,24.301,Infinity,25.056,530.4140937338559,24.132,494.24523774880134,24.725,Infinity,24.318,Infinity,24.898,Infinity,24.705,542.648579541778,23.851,Infinity,23.847,493.75498249841866,24.034,503.94585960185407,24.467,482.2208935672376,24.841,523.9292899916101,23.742,Infinity,24.792,516.4792604963453,24.65,523.5511817113082,24.822,515.5957367946113,23.83,520.1702817464904,24.071,540.20222669993,23.345,506.5543372843117,24.142,509.4270330162831,24.194,478.1580367357778,24.799,490.80190906703706,24.612,505.7121425507316,23.618,526.6501004699732,24.86,524.9909403115333,23.91,560.3508556831646,23.858,510.89416184885505,23.937,510.5280025098132,24.39,514.8042222219404,24.449,513.148310746417,24.451,519.9910405648918,23.576,Infinity,25.02,507.219986136192,24.028,514.7853441324776,24.353,Infinity,23.591,508.0413626465637,23.67,540.206929850555,23.662,Infinity,24.9,494.53737350140227,23.244,Infinity,23.971,Infinity,24.95,494.45169673704953,24.006,Infinity,25.01,541.4859345373897,24.311,554.5412074332836,23.916,496.6483282082005,23.611,537.2547468683595,24.279,521.6712787930145,23.879,514.6151596445449,23.457,522.7161520492454,23.992,520.2247770820074,23.919,475.8853419581267,23.567,496.1587962285449,24.448,497.0058059724248,24.134,Infinity,24.24,Infinity,24.343,530.0024219555098,24.459,525.4966190286067,23.408,573.0112351350768,24.915,514.2455813812019,24.051,Infinity,24.106,499.4043386555679,24.323,521.1995156953054,24.557,525.1036341222174,24.145,Infinity,24.742,510.09704143566466,24.795,Infinity,24.137,524.3804294512554,24.317,Infinity,24.243,537.0641944641363,23.623,485.17467297204496,24.11,528.191737313164,24.57,Infinity,24.538,Infinity,24.813,513.4894312156894,24.529,527.5240345447617,23.859,505.9685078057163,23.915,507.65462765866516,23.621,543.407602681409,23.59,497.8452939510311,23.573,492.7427250320563,24.283,516.3440370893258,24.741,527.6972438061182,23.858,497.49989868815555,23.806,Infinity,24.718,Infinity,24.12,508.514485688744,23.909
