Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,24.948,500.7803664073714,24.024,Infinity,24.442,501.0664893787678,23.846,503.9361925567573,24.23,Infinity,24.452,534.5820275756655,24.505,Infinity,24.874,509.54881589164074,24.678,Infinity,24.621,Infinity,24.736,Infinity,24.457,536.9450956444144,24.936,Infinity,24.402,532.4881272200146,24.69,498.2895791403371,24.582,Infinity,24.641,Infinity,24.461,Infinity,24.805,542.6326277592054,23.978,Infinity,24.721,Infinity,24.586,504.41659994599326,24.898,482.7658650408338,24.757,Infinity,24.42,487.3570114724114,24.471,513.7766250474681,23.906,525.6382388812572,24.841,518.4916633535264,24.541,522.0127818111561,24.231,539.9106890283464,24.109,504.43263897837045,23.958,511.08533700927967,23.956,Infinity,24.613,492.59087731999216,24.714,511.31052196834423,24.388,Infinity,24.909,526.7308542325937,24.316,560.2985849232984,24.42,Infinity,24.903,511.13012143652145,23.912,513.3784677912354,24.521,Infinity,25.184,519.5788416457651,23.983,Infinity,24.461,506.9467987316958,23.672,Infinity,24.8,Infinity,24.247,505.94188498143274,24.372,539.6285380054367,24.484,523.5985828884308,23.461,497.821461012636,24.519,Infinity,24.158,Infinity,24.297,Infinity,24.02,545.8877381592634,24.233,539.7602651850794,24.2,554.1177545764649,24.327,495.49014644508003,25.124,538.5320312170942,24.3,519.3595950117004,25.002,512.4426704943116,24.134,525.2305429581534,24.062,520.5794598278885,24.415,473.17548008447807,23.783,495.9614646352702,23.868,494.5729943606364,24.273,Infinity,24.591,Infinity,24.363,531.0881479339514,24.245,529.1898734186359,24.406,Infinity,24.67,Infinity,24.143,Infinity,24.221,498.1355416125443,24.212,520.3178861757002,24.197,521.1429543057709,24.478,Infinity,24.618,509.412451896163,24.776,Infinity,24.195,Infinity,24.845,Infinity,24.462,541.0665216000318,23.726,485.04894093896974,24.108,530.9634506958332,24.603,502.237774631761,24.206,Infinity,24.402,514.7751453106255,23.875,526.4989854968277,23.773,506.40735739581504,24.439,507.42284060109597,24.217,Infinity,24.422,498.3951203242073,24.208,493.3616573222779,24.321,Infinity,24.298,Infinity,24.07,500.4239474040421,24.323,Infinity,24.13,Infinity,24.38,506.98541331098266,24.543
Infinity,23.858,500.894272552544,24.554,Infinity,23.828,501.7468021194661,24.212,506.9385438453367,24.305,529.12438711107,24.457,532.173446968774,24.443,Infinity,24.732,509.7991496460506,23.71,Infinity,24.33,Infinity,24.215,548.5548125254586,24.406,538.5295903349839,24.133,Infinity,24.749,Infinity,24.553,Infinity,24.406,Infinity,24.105,Infinity,24.693,Infinity,25.089,Infinity,24.525,Infinity,23.958,498.6706508423799,25.21,502.6473940343362,24.151,482.7501424400073,24.291,Infinity,24.577,490.6373885608258,24.358,514.7563544939721,23.35,Infinity,25.112,515.8175887346923,23.778,520.2447387170284,24.373,542.1026492621306,24.748,505.66399837475535,24.555,Infinity,24.931,476.79545633924533,25.586,488.74380710026463,24.543,507.43109364167475,23.652,Infinity,24.195,520.5280283421614,24.504,561.3916073020197,24.972,Infinity,24.339,511.4738362552481,24.243,516.1564003215253,24.168,Infinity,24.074,518.988343961813,23.538,Infinity,24.408,506.98158977857116,24.388,515.9049641224465,24.493,Infinity,24.678,508.2167520084017,23.769,Infinity,24.33,Infinity,24.673,497.60312315982173,23.495,Infinity,24.129,532.8182383074324,24.47,Infinity,24.233,Infinity,24.398,539.4539821430659,24.265,556.181121112875,25.051,497.44981699111946,23.258,Infinity,24.105,520.159833353305,24.692,511.83471185253785,24.165,Infinity,24.693,515.260065279153,23.744,473.17055914629316,24.586,493.9606194148344,24.995,492.40706378490717,24.351,Infinity,25.263,Infinity,24.638,530.6373547969771,24.596,527.432678924379,24.744,Infinity,25.2,511.18608140809397,24.095,Infinity,24.809,499.90699947042714,23.746,Infinity,25.568,522.9685686372181,25.166,519.5289242780939,24.345,510.92460533592254,24.913,Infinity,25.304,Infinity,24.864,Infinity,24.682,538.5327555709114,25.114,485.0814258362164,24.679,530.0866228241296,24.659,Infinity,26.35,Infinity,24.76,515.4084300776457,25.483,527.7237780867373,24.819,507.4638615452193,24.901,510.0687175176137,24.453,Infinity,24.752,497.62049537149,24.857,492.8255812562197,25.126,518.2376136665407,24.995,526.8300774633788,25.215,500.5096709235341,24.552,Infinity,24.525,508.85069796667466,24.761,506.20969061474113,24.45
Infinity,26.175,500.0740797261215,25.483,526.4306038251066,25.467,504.0702034876491,24.34,506.60815781520284,24.385,530.9593566021655,25.479,533.7663062464019,25.535,Infinity,24.988,506.84018508946536,24.947,Infinity,24.668,Infinity,25.74,Infinity,24.997,538.8460550016047,25.316,504.84973664070384,25.265,535.0589873845439,25.137,Infinity,25.377,Infinity,25.001,Infinity,25.0,Infinity,25.615,543.1230707873611,25.248,Infinity,26.199,500.24225025063885,25.126,504.0832525717296,25.564,484.0831561379521,25.279,Infinity,25.687,Infinity,25.694,516.7775432757194,24.832,Infinity,25.967,516.9613035559632,25.133,519.0296681137087,24.758,542.7429612652501,25.158,505.8966700694858,25.429,509.4850988641986,25.43,476.0513229434099,25.442,491.2234996917331,25.428,508.7975057346554,25.197,522.9635304128489,24.378,521.6907087835191,25.503,561.3887496118914,26.503,Infinity,25.37,512.0657615967792,25.709,518.0375204414296,25.27,Infinity,25.756,517.7949428480196,26.092,550.1107926394584,24.58,506.9652438800742,24.851,514.1098116202153,25.893,Infinity,25.298,508.4464383986661,25.39,540.7071009800134,25.222,Infinity,25.339,495.301339023474,25.672,Infinity,25.176,535.086882835999,25.359,495.5830420603553,24.633,547.2489172044155,25.604,541.5271995544632,24.686,554.5376943993489,26.267,498.8735469960757,25.266,537.0008863498257,24.951,519.1860884541254,24.928,511.9358334141038,25.099,Infinity,25.421,518.326765145048,25.459,472.6477049088088,24.827,493.9193351972389,25.498,493.2138340375447,25.479,531.3485137649737,25.55,Infinity,25.238,530.4843549349043,24.962,527.2068132495953,25.345,Infinity,24.96,Infinity,25.483,Infinity,24.986,495.5108646155344,25.537,Infinity,25.622,523.8691221382794,25.486,Infinity,25.253,509.9553903319311,26.244,Infinity,25.34,Infinity,25.839,Infinity,25.025,538.0535479306108,25.52,486.1146746133896,25.85,530.5661209404456,25.376,Infinity,25.697,Infinity,25.696,514.5060736207945,25.695,527.0070006444386,25.363,506.3477127060848,25.08,508.3518408769155,25.344,Infinity,25.148,498.0792056632491,24.792,491.2593043493856,24.867,521.0605254788845,24.581,Infinity,25.155,499.2462922833368,24.324,Infinity,25.609,Infinity,25.795,509.74512345995595,24.644
540.5856331663921,25.536,499.5500900174031,25.432,524.4576446047953,25.948,501.5651310444152,24.773,503.424116227827,25.266,530.0196654691902,25.384,533.7338983892938,26.198,Infinity,25.216,Infinity,26.147,Infinity,25.542,Infinity,25.096,Infinity,25.564,539.1081664788506,25.298,504.5045253937081,25.099,534.3014564276586,25.704,Infinity,25.603,Infinity,25.061,Infinity,25.33,Infinity,26.18,543.61990191748,24.405,528.5229085362781,24.55,Infinity,25.572,501.9820898940858,24.345,483.8715170538973,25.08,524.4693667730746,25.065,Infinity,25.737,512.4071087655041,24.711,525.9177603585828,25.526,516.2034120788894,24.738,520.4451814062149,24.944,540.9997254522591,24.51,507.7390706303631,25.168,509.7966707013363,24.963,482.97697492833936,25.374,489.8334361981418,24.347,508.89370629761555,24.749,522.7042940062275,24.181,524.0200891900095,23.777,558.8091022239079,24.979,511.30282277940194,23.994,513.3999730739388,23.936,516.0026882732559,24.455,513.0117865231911,23.955,517.1441208205156,24.226,Infinity,24.45,505.9109326335931,23.803,514.6471430469456,24.885,Infinity,23.86,505.71192231899073,24.954,543.1501437715007,23.725,Infinity,24.661,493.5464927678626,24.341,Infinity,24.884,534.6222361569795,24.52,Infinity,25.584,546.5653971094043,24.54,540.2374947975374,24.57,554.8221230641262,24.551,494.2234186480338,23.677,537.9937811497975,24.314,521.2070919206183,23.99,513.5224904747078,24.314,525.0313532272395,25.08,518.1271484200553,24.949,473.8478734707847,23.867,492.4663016376568,24.537,491.6661624690477,23.803,Infinity,24.11,525.7752152321386,24.487,531.4799410299896,24.829,525.4275498128038,24.599,Infinity,24.512,511.0763102730442,24.331,539.5500037826367,24.805,499.36693744796423,24.327,520.1119238986017,24.02,Infinity,24.91,514.2399806655189,24.805,511.3418239466417,24.835,Infinity,24.995,524.6993301529211,24.025,Infinity,24.494,539.5221680855253,24.787,483.4961535782902,23.687,532.8795073858004,23.735,Infinity,23.994,Infinity,24.538,515.4234949881425,24.582,523.6243403894225,23.335,506.7693297858535,23.894,506.9487675413134,24.598,541.5968897858668,24.512,498.24535667907776,23.529,495.9098247637328,23.851,519.9050896200355,24.789,526.0413269030497,24.317,499.7722384543856,24.185,Infinity,25.662,Infinity,24.626,507.95120453521525,24.564
Infinity,24.794,497.22978946481464,24.562,531.5429527559251,25.246,502.4946180438461,24.212,504.8157003011266,24.345,529.2391473986809,23.835,533.9769281359642,25.169,Infinity,24.732,509.00974851502815,24.523,Infinity,24.505,Infinity,24.133,550.1747964159017,23.81,538.917092003527,24.577,Infinity,24.83,Infinity,24.421,495.52119136835415,23.952,Infinity,24.059,Infinity,24.815,Infinity,24.439,543.4704094122822,24.144,529.2267187812911,24.987,Infinity,24.578,503.3629240801154,24.809,484.3876314868039,24.737,Infinity,24.037,490.79784547533467,24.017,515.1592455844736,24.636,524.3883472987648,24.581,516.3876014260472,24.391,522.8169941213444,23.64,541.9174444373772,24.04,506.9233066188905,24.366,513.0989544174578,24.329,475.57926480330264,24.435,488.67617498614027,24.204,505.97474179631956,24.1,525.1007147507279,24.319,526.6425650042817,24.508,560.8803184927681,24.644,Infinity,24.984,512.3414639050219,24.317,512.2179193033505,24.689,Infinity,25.151,518.0138417155034,24.51,547.2672631329939,24.924,506.17336948668765,23.536,517.7681570744785,23.566,Infinity,24.124,Infinity,24.606,539.3390171426465,24.389,Infinity,24.265,494.13096623189233,24.553,Infinity,24.501,531.8964687430487,24.273,495.66706946363314,24.227,545.6609435701513,24.131,541.8538196235331,24.102,556.3487294444576,23.868,496.26765239182834,23.987,537.6577072066581,24.351,520.5568365236281,23.794,513.4320892727019,24.349,523.252665044892,24.452,516.722118979824,24.481,475.4415514542851,24.428,493.68842978671967,24.274,493.06087747934015,23.63,Infinity,24.266,Infinity,24.548,530.8681176640058,24.384,526.5390259762153,24.608,570.2985156678906,24.519,511.3916267701033,24.345,Infinity,24.409,498.6439437707617,24.333,520.0007363253751,23.847,Infinity,25.275,517.2718825020233,24.034,509.19232641302784,23.684,Infinity,24.675,526.7402921074337,23.74,519.5098899566707,24.681,535.5055850338449,23.323,485.8010600602842,24.281,532.7364479392386,23.814,505.59271174417046,24.277,Infinity,24.753,515.4263901121419,23.799,524.6708279012479,24.028,508.4349494910514,24.315,506.7661287461648,24.241,546.0899696011213,24.656,497.6861148779285,23.908,492.5408780526971,23.823,517.9491333840782,24.274,529.2772449920881,24.658,499.8372501865691,24.242,495.32446006848454,24.136,507.3366595690079,24.779,508.79229870848076,24.099
541.1347136741759,24.94,499.22778097269565,24.265,525.7726170336211,25.161,501.764064865704,23.75,504.76813409700037,24.354,531.6391719724365,23.695,534.4827531439075,24.697,Infinity,25.056,510.86760533385973,25.363,Infinity,24.342,Infinity,24.606,Infinity,23.819,538.8050339580863,24.886,Infinity,24.626,530.4140937338559,24.859,494.24523774880134,24.514,Infinity,23.746,Infinity,24.457,Infinity,24.459,542.648579541778,23.683,Infinity,24.86,493.75498249841866,24.473,503.94585960185407,24.624,482.2208935672376,24.06,523.9292899916101,23.97,Infinity,25.039,516.4792604963453,24.536,523.5511817113082,25.065,515.5957367946113,23.834,520.1702817464904,24.28,540.20222669993,24.63,506.5543372843117,24.243,509.4270330162831,24.349,478.1580367357778,23.873,490.80190906703706,24.193,505.7121425507316,24.629,526.6501004699732,25.125,524.9909403115333,24.132,560.3508556831646,24.023,510.89416184885505,24.071,510.5280025098132,24.494,514.8042222219404,24.396,513.148310746417,24.638,519.9910405648918,24.031,Infinity,24.905,507.219986136192,24.837,514.7853441324776,24.534,Infinity,24.157,508.0413626465637,24.304,540.206929850555,25.177,Infinity,24.45,494.53737350140227,23.887,Infinity,25.328,Infinity,25.317,494.45169673704953,23.946,Infinity,24.532,541.4859345373897,23.745,554.5412074332836,24.291,496.6483282082005,23.966,537.2547468683595,24.742,521.6712787930145,24.744,514.6151596445449,24.291,522.7161520492454,24.899,520.2247770820074,23.896,475.8853419581267,23.595,496.1587962285449,24.297,497.0058059724248,24.599,Infinity,24.928,Infinity,25.382,530.0024219555098,24.08,525.4966190286067,24.147,573.0112351350768,23.815,514.2455813812019,24.511,Infinity,24.8,499.4043386555679,25.349,521.1995156953054,24.265,525.1036341222174,24.28,Infinity,24.296,510.09704143566466,24.804,Infinity,24.825,524.3804294512554,23.963,Infinity,23.761,537.0641944641363,23.954,485.17467297204496,23.774,528.191737313164,24.802,Infinity,24.441,Infinity,25.157,513.4894312156894,24.451,527.5240345447617,23.969,505.9685078057163,23.613,507.65462765866516,23.89,543.407602681409,23.889,497.8452939510311,24.221,492.7427250320563,24.183,516.3440370893258,24.031,527.6972438061182,24.097,497.49989868815555,24.198,Infinity,24.718,Infinity,24.237,508.514485688744,24.152
