Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,24.322,504.42932985398994,24.771,Infinity,25.256,Infinity,24.841,Infinity,24.352,Infinity,25.248,Infinity,24.506,Infinity,24.483,Infinity,25.165,Infinity,23.897,Infinity,24.518,Infinity,24.477,Infinity,24.704,Infinity,24.868,Infinity,24.982,497.25235745511765,24.973,Infinity,24.45,Infinity,24.922,Infinity,25.264,Infinity,24.604,Infinity,25.837,Infinity,23.933,509.7170716855431,24.825,487.0485978728468,25.027,Infinity,24.329,Infinity,24.282,520.5154032046402,23.753,Infinity,25.043,525.6381533499758,23.807,523.8404992185081,25.135,546.9657871895157,24.295,510.27664665471457,23.719,517.0446264082133,24.856,484.0150389824375,24.416,490.7437689724772,24.59,Infinity,24.243,Infinity,23.955,529.9161476486723,24.348,566.1335729446469,24.574,Infinity,24.678,Infinity,24.127,522.6628181978432,23.756,Infinity,24.42,523.9951232386248,24.161,Infinity,23.995,512.2329025026817,23.926,Infinity,24.073,Infinity,24.599,Infinity,24.002,Infinity,24.833,Infinity,24.238,501.1239777951392,23.748,Infinity,25.361,Infinity,24.927,504.912343339375,24.84,Infinity,24.671,Infinity,24.46,558.1805373675624,24.264,Infinity,25.143,Infinity,24.269,524.3550644489873,24.798,516.7596776905006,24.72,Infinity,23.982,Infinity,24.436,479.3659382551815,23.724,499.63104928840454,24.115,Infinity,24.27,Infinity,24.246,Infinity,24.387,Infinity,24.39,530.3557089256642,24.503,Infinity,24.128,514.5861584186324,24.589,546.4399936953752,24.474,503.2543917582075,24.245,Infinity,23.645,Infinity,24.353,Infinity,24.723,514.7632371715355,23.966,Infinity,24.041,Infinity,24.135,Infinity,24.609,Infinity,24.125,489.9197717102225,23.654,534.7625040501639,23.995,Infinity,24.343,Infinity,24.722,521.1775690036139,24.029,531.55464216287,24.152,508.6310781288221,24.198,Infinity,24.66,Infinity,24.644,503.90529832641994,24.219,496.60074958288163,23.927,Infinity,24.716,532.3829655026304,24.166,503.54052920133927,24.077,Infinity,24.499,Infinity,23.839,511.785822787482,24.358
546.6458435644435,24.308,502.4223646295043,24.419,Infinity,24.567,505.8030553673954,24.267,Infinity,23.596,Infinity,24.459,Infinity,24.581,Infinity,24.382,Infinity,25.401,Infinity,24.11,Infinity,24.475,Infinity,24.4,Infinity,25.066,Infinity,24.386,Infinity,24.315,Infinity,24.239,Infinity,24.336,Infinity,24.124,Infinity,25.147,545.9635324714482,23.581,Infinity,24.26,Infinity,23.892,Infinity,24.748,487.1737827135205,24.648,Infinity,23.906,Infinity,23.782,522.4178121277961,24.757,531.4382209308264,24.841,522.1260937759447,23.841,523.8684154893103,23.984,544.4684722847301,24.75,512.2716109796743,24.353,518.0770508436505,24.264,483.4265614774575,24.5,491.61742669397614,23.942,516.9489760108686,24.365,Infinity,24.591,529.1951372014934,24.264,563.2596983073951,24.084,Infinity,24.69,518.8785224649705,23.905,520.8393794618289,24.969,Infinity,24.285,523.7529198673493,24.6,550.897079240338,23.892,511.94714232507874,24.077,517.1786596334823,24.33,Infinity,24.416,Infinity,23.879,544.7587227147347,24.318,Infinity,24.471,Infinity,24.935,Infinity,23.796,538.665327078245,24.551,501.37724652344076,24.679,Infinity,24.555,545.9940909067195,24.948,Infinity,24.516,Infinity,24.971,Infinity,24.274,526.4117685802172,24.2,516.6454722612374,23.878,527.809815372078,24.18,523.3165954004425,24.904,479.20355959284063,24.468,498.6954186126564,24.729,501.36411518922944,24.784,Infinity,24.077,Infinity,24.517,531.9133077755165,24.312,534.6778104499685,23.863,Infinity,24.188,Infinity,24.837,545.0068206317591,24.787,503.9030012848115,24.248,524.7186146387481,24.186,Infinity,25.104,Infinity,25.699,Infinity,24.894,Infinity,24.239,531.8302752462005,24.215,Infinity,24.383,Infinity,24.636,492.7472576812332,25.12,534.4155637445954,24.746,Infinity,24.859,Infinity,24.123,522.4211577200392,24.662,530.2200290317551,24.422,511.42488718000016,25.07,513.7439439362969,24.718,Infinity,24.445,502.4793690075302,24.851,498.4339251624681,24.612,Infinity,24.454,Infinity,24.954,502.581644820481,23.52,Infinity,25.243,Infinity,24.808,Infinity,24.484
Infinity,25.141,Infinity,25.219,531.8159209476787,24.197,504.54186877136937,24.214,512.4794224213355,24.156,Infinity,24.476,Infinity,24.877,Infinity,24.527,516.2412355595734,24.663,Infinity,24.548,Infinity,24.907,552.2486993562763,24.398,543.3060294230303,24.581,Infinity,24.771,539.2442388375644,24.696,501.1198565075033,25.25,Infinity,23.666,Infinity,25.221,Infinity,24.943,Infinity,24.613,Infinity,24.734,506.85422297165957,24.18,510.52734450293883,24.045,487.45028961911856,24.701,529.6407773073759,24.102,Infinity,24.406,517.7196611814973,24.259,Infinity,24.134,522.4318115648126,24.308,526.2847012982934,23.957,545.0832089788385,25.053,511.35609119178537,24.144,Infinity,24.488,482.58658990965654,24.512,491.3297607657283,23.993,513.3240231976556,24.163,Infinity,24.415,528.7547703801002,23.761,564.9193363727862,23.938,Infinity,24.198,Infinity,24.757,519.5593240046551,25.062,518.0537258644714,24.172,524.7421001376684,24.585,Infinity,24.461,508.9708910780728,23.735,520.8822466421562,24.316,Infinity,23.739,Infinity,24.762,Infinity,24.336,Infinity,23.753,501.45364268779014,24.404,Infinity,24.852,537.242610989325,23.541,Infinity,24.24,552.2547295570052,24.477,546.9468926661265,25.081,558.4521012051565,24.001,501.6955457578475,24.333,Infinity,23.844,525.3605271274348,24.381,517.2916884854016,24.217,527.5128089403761,24.422,Infinity,24.169,481.93744431703385,24.396,Infinity,24.548,499.33158273327285,23.85,Infinity,24.86,Infinity,24.222,533.6086268684023,24.658,532.9576310133975,23.944,Infinity,24.401,516.3022140044473,23.701,Infinity,23.962,505.0907829434341,23.81,Infinity,24.182,Infinity,24.945,520.498445802914,24.593,517.3710497809401,24.461,Infinity,24.973,530.6295781279237,24.978,Infinity,24.356,544.2292469024579,24.677,490.08672076400467,23.361,Infinity,24.417,506.4140986672614,23.676,Infinity,24.505,519.3716105446274,24.676,530.2445462066303,23.812,Infinity,25.49,514.174760575331,23.852,Infinity,24.433,504.6176024563527,24.218,496.7893839799993,24.761,Infinity,23.985,Infinity,24.158,505.88439384472474,24.019,Infinity,23.999,Infinity,24.327,514.128762387844,24.151
Infinity,24.026,502.3065412000415,24.546,531.6141192637176,24.855,504.482266855856,24.312,511.2199989236991,24.351,Infinity,24.301,538.9168117443146,23.811,Infinity,24.617,516.002262315104,24.848,Infinity,25.022,Infinity,23.923,Infinity,24.328,Infinity,25.1,Infinity,24.422,535.7947978448868,23.793,497.38607563204846,24.35,Infinity,23.64,Infinity,24.221,Infinity,24.856,548.5499047194671,23.828,Infinity,24.019,Infinity,24.263,507.81567494061954,24.406,485.9873350716626,23.868,Infinity,24.087,491.8288666260923,23.382,518.7784614855739,24.366,Infinity,24.79,520.81732888726,23.43,524.5423746087449,24.242,545.8812205516797,24.207,512.2074436093202,24.81,518.0924837811567,23.709,481.8213300303494,24.297,490.8791958249139,24.368,513.0817522433218,24.075,Infinity,24.881,527.4583709155639,24.045,563.4119619911805,24.919,Infinity,24.533,Infinity,24.164,519.3132406374937,24.052,515.4770615319611,23.988,523.2525715812194,24.734,549.3273306070947,23.699,510.2838454202903,23.277,519.812278775779,23.744,Infinity,23.997,Infinity,24.695,Infinity,24.471,Infinity,23.675,498.5349719720595,24.619,Infinity,24.921,536.5863506806843,25.144,Infinity,24.495,Infinity,24.631,544.3662321022733,24.31,559.3868874769468,24.817,501.53085535870605,26.082,Infinity,25.039,525.4849625653349,24.525,519.2469635988668,24.709,528.9049197966455,23.999,524.9814184179768,24.052,479.8461053975332,24.1,499.2016386568306,24.403,500.5475802964693,23.938,Infinity,24.419,Infinity,24.078,Infinity,24.949,Infinity,24.788,Infinity,23.751,516.174680387964,24.331,Infinity,24.691,502.367497378684,24.421,Infinity,24.139,Infinity,24.384,Infinity,24.513,515.9761935305172,24.547,Infinity,24.646,Infinity,25.114,Infinity,24.244,540.5098182218637,23.955,490.05621235302556,24.81,534.9819834163532,23.918,Infinity,24.741,Infinity,24.194,523.8294173831358,23.85,527.7624746732554,23.81,510.0025892804823,24.679,513.802705755189,24.529,549.5514198581632,24.345,504.17784627317286,23.756,499.14507249773845,23.956,Infinity,24.185,534.8874068405041,24.101,502.3892910981703,24.331,Infinity,25.234,Infinity,24.281,Infinity,24.786
Infinity,24.281,504.5123168941723,23.942,Infinity,25.485,507.58299581042604,24.482,Infinity,24.01,533.3420822258297,23.955,539.3488338297357,24.543,Infinity,24.664,515.1002163740717,24.692,Infinity,24.817,Infinity,24.033,553.2557672799462,25.014,Infinity,25.027,Infinity,25.434,Infinity,24.761,Infinity,24.25,508.0900404409257,23.905,Infinity,24.201,Infinity,24.552,549.0008149273156,23.804,Infinity,23.973,502.39917167571855,24.371,507.1950122948114,24.358,487.2359353449577,23.824,Infinity,24.267,493.6286693333041,24.442,519.3989842084866,24.359,530.6728679210572,24.139,522.0851502432848,24.059,524.9151282829572,24.083,546.5203490060786,24.536,512.371624783827,24.371,516.5181106239803,25.471,485.20323711569233,23.895,493.2338884747635,24.048,513.7216004182595,23.715,Infinity,24.378,529.8107718392921,23.776,565.049694363383,23.924,Infinity,24.491,518.5659318090213,24.743,521.7664735608224,24.34,Infinity,24.102,523.0323788800474,24.627,552.6028289322212,24.202,511.22386537359716,24.073,519.9445078459045,24.042,Infinity,23.843,Infinity,24.489,Infinity,24.836,Infinity,24.408,499.5866799270106,24.504,Infinity,24.271,537.5521811173112,24.625,497.6753315150878,24.431,552.9409890384841,24.054,Infinity,24.497,559.2713777468839,24.185,503.2363158266605,24.404,Infinity,24.923,524.4867776694205,24.938,517.4036477564572,23.628,Infinity,24.748,523.2515468795937,24.199,479.6896147714282,24.298,Infinity,24.504,500.24441585291845,24.293,Infinity,24.248,Infinity,24.236,534.507189434885,24.63,533.4913933633115,24.568,Infinity,23.861,516.4197713561481,24.732,Infinity,24.749,502.57826984416647,23.991,528.3141729410082,24.712,Infinity,24.937,Infinity,24.508,Infinity,24.809,Infinity,25.057,Infinity,25.458,527.7849089230059,24.157,540.7139395582545,24.858,489.23282779428325,24.739,534.5978582350016,24.381,Infinity,24.494,Infinity,24.381,520.0354201481788,23.985,530.1989889671917,23.964,508.0581863528084,23.888,513.9641495389295,25.119,Infinity,24.332,503.6823067776784,25.169,499.3296028622971,23.946,Infinity,24.253,Infinity,24.228,503.64540384945474,23.635,498.60776127755184,23.942,Infinity,24.077,514.0830740994431,24.045
Infinity,24.483,502.54725906800144,23.816,Infinity,24.693,506.0809999845951,24.265,Infinity,24.001,532.5899040651498,23.894,Infinity,25.474,Infinity,24.196,Infinity,24.666,Infinity,24.265,Infinity,24.145,Infinity,24.696,540.0035479800093,25.052,Infinity,24.22,538.9531907380132,24.158,496.7822470268629,24.776,Infinity,24.166,Infinity,24.078,Infinity,24.74,548.3830722395782,23.943,Infinity,23.794,Infinity,24.538,507.2004986981087,24.264,487.9437752048852,24.312,Infinity,24.232,Infinity,24.702,519.3862167005203,24.608,528.8276797868735,23.715,522.7086364238785,23.892,524.1377241421565,24.602,546.0444844918499,23.58,511.6762755636641,23.932,517.0426640073202,24.194,483.8507800639177,24.039,493.7302259777254,24.094,513.3989111408756,24.549,Infinity,24.285,529.3783212621074,24.445,565.0530220003818,24.555,513.7442350999388,24.11,516.7372133765252,24.167,520.098381876118,23.952,Infinity,24.497,522.9362551348077,24.281,551.0225004131473,23.932,512.1231915696886,23.908,Infinity,24.164,520.5885650661571,24.299,Infinity,24.44,546.4424395262797,24.481,Infinity,24.952,501.08160929306564,23.547,Infinity,24.268,539.5486903879753,24.89,499.8135595359461,24.11,Infinity,24.514,544.7030786203826,24.369,558.118522672465,24.033,500.6559850034358,24.495,Infinity,23.912,523.1206437856199,23.668,519.3827355022183,23.521,527.1934062985952,23.926,523.5557453414508,24.788,478.35186769559186,24.045,Infinity,24.945,498.8284170412136,23.535,Infinity,23.97,Infinity,24.32,533.8787435713377,24.18,Infinity,24.26,Infinity,24.605,515.8997066691153,24.25,Infinity,23.992,501.24481857983983,23.744,Infinity,24.002,529.7833392049157,24.398,Infinity,24.788,516.2883135045771,24.703,Infinity,23.964,Infinity,24.625,528.2898020612173,24.371,Infinity,24.972,491.2600634324898,23.834,535.6462548154826,24.158,508.025001178929,23.647,Infinity,23.995,523.6562142024549,23.864,532.8401241028967,24.106,511.8410533827274,24.078,511.39144285837915,23.995,Infinity,24.535,505.22656423100943,23.727,502.905872753256,24.395,524.8537097998968,24.267,Infinity,24.482,504.69951022327785,24.975,Infinity,24.675,Infinity,24.747,515.864401021686,24.232
