Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,25.567,Infinity,25.763,Infinity,25.415,Infinity,24.511,Infinity,24.581,Infinity,24.385,Infinity,25.305,Infinity,25.628,Infinity,25.614,Infinity,25.004,Infinity,25.974,Infinity,25.962,Infinity,24.874,Infinity,24.274,Infinity,24.591,Infinity,24.398,Infinity,24.331,Infinity,25.898,Infinity,24.833,Infinity,24.41,Infinity,24.489,Infinity,24.519,Infinity,24.456,500.7698784866249,24.494,Infinity,24.616,Infinity,24.417,534.6495128843713,24.716,Infinity,24.705,Infinity,24.174,Infinity,24.789,Infinity,24.256,Infinity,24.468,Infinity,24.119,Infinity,24.172,Infinity,24.316,527.1420495704707,24.687,Infinity,24.725,544.6582862798467,24.242,578.738210957623,24.837,Infinity,24.467,Infinity,24.662,Infinity,24.189,Infinity,23.973,Infinity,24.433,Infinity,24.07,Infinity,24.403,Infinity,24.369,Infinity,24.397,Infinity,24.174,Infinity,24.379,Infinity,24.662,Infinity,24.849,Infinity,24.535,Infinity,24.074,Infinity,24.38,Infinity,23.955,Infinity,24.667,Infinity,24.561,517.1266517517688,23.956,Infinity,24.407,Infinity,24.692,Infinity,24.583,Infinity,24.181,Infinity,23.94,Infinity,24.316,Infinity,24.546,Infinity,24.432,Infinity,24.266,Infinity,24.367,Infinity,25.15,Infinity,24.273,Infinity,24.708,Infinity,24.733,Infinity,24.74,Infinity,24.875,Infinity,24.498,Infinity,24.768,Infinity,24.846,Infinity,25.036,Infinity,24.782,547.4225230639353,24.515,Infinity,24.568,Infinity,24.437,Infinity,24.076,Infinity,24.683,Infinity,24.561,Infinity,24.426,Infinity,24.64,545.0662801375105,24.03,Infinity,24.521,Infinity,24.853,Infinity,24.542,Infinity,24.464,517.8500413529582,24.594,Infinity,24.419,Infinity,23.827,Infinity,24.78,Infinity,24.033,Infinity,24.005,Infinity,25.268
Infinity,24.141,Infinity,24.332,Infinity,24.865,Infinity,24.614,Infinity,24.559,Infinity,24.45,Infinity,24.652,Infinity,24.875,Infinity,25.483,Infinity,24.479,Infinity,23.908,Infinity,24.15,Infinity,24.774,Infinity,24.506,Infinity,24.251,Infinity,24.287,Infinity,24.34,Infinity,24.849,Infinity,24.143,Infinity,24.095,Infinity,24.436,Infinity,24.44,Infinity,24.341,502.53908451384086,24.528,Infinity,24.349,Infinity,24.126,Infinity,24.904,Infinity,24.72,Infinity,24.431,Infinity,24.283,Infinity,24.51,524.6316547345148,24.303,Infinity,24.271,Infinity,24.036,506.54421277214766,24.083,Infinity,24.643,Infinity,24.51,Infinity,24.598,581.0405819747077,24.542,Infinity,24.333,Infinity,24.614,Infinity,24.122,Infinity,25.343,Infinity,24.456,Infinity,24.565,Infinity,24.252,Infinity,24.171,Infinity,24.127,Infinity,25.337,Infinity,24.069,Infinity,25.062,Infinity,24.738,Infinity,24.088,Infinity,24.557,Infinity,24.448,Infinity,24.346,Infinity,24.201,Infinity,24.875,Infinity,24.847,Infinity,25.049,536.7542799833777,25.081,Infinity,24.161,Infinity,24.396,Infinity,24.44,Infinity,25.01,Infinity,24.379,Infinity,24.077,Infinity,24.218,Infinity,24.269,Infinity,24.18,Infinity,24.385,Infinity,24.02,Infinity,24.38,Infinity,24.384,519.7545134496597,23.736,Infinity,24.144,Infinity,24.382,Infinity,24.74,Infinity,24.435,Infinity,24.64,544.4931686999029,24.501,Infinity,24.038,Infinity,24.214,Infinity,24.579,Infinity,24.414,Infinity,24.198,Infinity,24.304,Infinity,24.429,546.300510506587,24.267,Infinity,24.014,Infinity,24.461,Infinity,24.729,518.054389740988,25.111,Infinity,24.199,Infinity,24.161,Infinity,24.469,Infinity,24.536,Infinity,24.53,Infinity,24.579,Infinity,24.226
Infinity,24.089,Infinity,24.673,Infinity,24.4,Infinity,24.628,Infinity,24.121,Infinity,24.926,Infinity,24.09,Infinity,24.657,Infinity,24.895,Infinity,24.026,Infinity,24.477,Infinity,24.256,Infinity,24.218,Infinity,24.385,Infinity,24.557,Infinity,25.215,Infinity,23.951,Infinity,24.645,Infinity,25.24,Infinity,24.316,Infinity,24.158,Infinity,24.465,Infinity,24.714,502.2584955943538,25.298,Infinity,24.37,Infinity,24.137,533.7731822287228,24.509,Infinity,24.814,Infinity,24.456,Infinity,24.539,Infinity,24.715,Infinity,25.402,Infinity,24.68,Infinity,24.432,Infinity,24.95,532.1684380264599,24.514,Infinity,24.386,545.0126022340614,24.543,578.2129679369233,24.463,Infinity,24.474,Infinity,24.635,Infinity,24.342,Infinity,24.848,Infinity,24.459,Infinity,24.47,526.4831109827173,24.797,Infinity,24.081,Infinity,24.159,Infinity,24.402,Infinity,24.796,Infinity,24.642,Infinity,24.211,Infinity,24.289,551.6501879916111,24.507,Infinity,24.65,Infinity,24.179,Infinity,24.437,Infinity,24.75,Infinity,24.011,Infinity,24.565,Infinity,24.766,Infinity,23.938,Infinity,24.588,541.1013556456256,24.185,Infinity,24.569,Infinity,25.002,Infinity,24.172,Infinity,24.344,Infinity,24.149,Infinity,24.404,Infinity,24.573,Infinity,24.495,Infinity,24.43,Infinity,24.642,Infinity,24.875,Infinity,24.376,Infinity,24.832,Infinity,24.358,524.3015972369619,24.516,Infinity,24.528,Infinity,24.814,Infinity,24.206,Infinity,24.252,Infinity,24.095,Infinity,23.838,Infinity,24.086,Infinity,24.364,Infinity,24.379,Infinity,24.441,Infinity,24.787,Infinity,24.191,Infinity,24.994,517.9559440160972,25.393,Infinity,24.29,Infinity,24.379,Infinity,24.969,Infinity,24.49,Infinity,24.448,Infinity,24.866,Infinity,24.453
Infinity,24.412,Infinity,24.123,Infinity,24.332,524.6165070522717,24.306,Infinity,23.905,Infinity,23.713,Infinity,24.261,Infinity,24.389,Infinity,25.091,Infinity,23.947,Infinity,24.177,Infinity,24.27,Infinity,24.46,Infinity,24.078,Infinity,24.332,Infinity,24.61,Infinity,24.558,Infinity,24.212,Infinity,24.515,Infinity,24.351,Infinity,24.117,Infinity,24.369,Infinity,24.383,503.25808585778213,23.807,Infinity,25.007,Infinity,24.195,Infinity,24.535,Infinity,24.364,Infinity,24.27,Infinity,24.357,Infinity,24.167,525.9325840700125,24.191,Infinity,24.078,498.6731690653845,24.315,Infinity,23.988,Infinity,23.911,Infinity,23.976,Infinity,24.207,579.4287044296282,24.11,Infinity,24.4,Infinity,24.148,Infinity,24.688,Infinity,23.962,Infinity,24.12,Infinity,24.858,526.3130760524668,24.229,Infinity,24.29,Infinity,24.246,Infinity,24.274,Infinity,24.342,Infinity,24.139,Infinity,24.186,Infinity,24.523,Infinity,25.114,Infinity,24.375,Infinity,24.707,Infinity,23.958,577.6017316209787,24.451,Infinity,24.768,Infinity,24.165,536.7955304177126,24.711,Infinity,24.472,Infinity,24.341,Infinity,24.181,Infinity,24.435,Infinity,24.367,Infinity,24.182,Infinity,23.783,Infinity,24.217,Infinity,24.426,Infinity,24.053,Infinity,24.024,Infinity,24.289,Infinity,24.187,Infinity,24.18,Infinity,24.196,Infinity,24.571,Infinity,24.479,Infinity,25.263,Infinity,24.377,Infinity,24.801,Infinity,24.205,Infinity,23.96,Infinity,24.489,Infinity,24.408,Infinity,24.401,Infinity,24.327,Infinity,24.42,545.0242502871241,24.599,Infinity,24.499,Infinity,24.361,Infinity,24.728,516.6772057220453,24.695,Infinity,24.41,Infinity,23.932,Infinity,24.137,Infinity,24.276,Infinity,24.024,Infinity,24.046,Infinity,24.711
Infinity,24.892,Infinity,24.569,547.4200801184928,24.389,522.9219209819199,23.629,Infinity,24.124,Infinity,24.349,Infinity,24.923,Infinity,24.399,Infinity,24.633,Infinity,24.007,Infinity,24.257,Infinity,23.818,Infinity,24.563,Infinity,24.525,Infinity,24.243,Infinity,24.822,Infinity,24.138,Infinity,24.317,Infinity,23.764,Infinity,23.81,Infinity,24.034,Infinity,24.605,Infinity,25.082,504.0898055112057,24.593,Infinity,24.585,Infinity,24.093,Infinity,24.454,Infinity,24.194,Infinity,23.93,540.0028734607534,24.564,Infinity,24.49,Infinity,24.294,Infinity,24.745,501.13970947508744,24.404,Infinity,24.535,Infinity,24.636,Infinity,24.112,Infinity,23.989,579.0785803073504,24.63,Infinity,24.083,Infinity,24.624,Infinity,23.903,Infinity,24.471,537.2754747924648,24.378,Infinity,24.534,526.7635635185369,23.902,Infinity,24.376,Infinity,24.35,Infinity,24.345,Infinity,24.415,Infinity,24.465,Infinity,23.958,Infinity,24.411,Infinity,24.924,Infinity,23.939,Infinity,24.205,Infinity,24.526,Infinity,24.273,Infinity,24.103,Infinity,24.12,Infinity,23.899,Infinity,24.018,Infinity,24.777,Infinity,23.766,Infinity,24.466,Infinity,24.716,Infinity,24.219,Infinity,24.245,Infinity,24.358,Infinity,24.491,Infinity,23.955,Infinity,23.998,Infinity,24.352,Infinity,24.161,518.2266928489179,24.143,Infinity,24.336,Infinity,24.44,Infinity,24.235,527.5805826017415,24.412,Infinity,24.646,Infinity,24.731,Infinity,24.426,Infinity,23.907,Infinity,24.37,Infinity,24.462,Infinity,24.278,Infinity,24.098,Infinity,24.171,546.4889725954864,23.854,Infinity,24.783,Infinity,24.706,Infinity,24.135,516.7429002879156,23.882,Infinity,25.067,Infinity,23.887,Infinity,25.224,520.5586828019524,24.624,Infinity,24.767,Infinity,24.207,Infinity,24.297
Infinity,24.552,Infinity,24.869,Infinity,24.134,Infinity,24.069,Infinity,24.313,Infinity,23.633,Infinity,24.788,Infinity,24.141,Infinity,24.958,Infinity,24.533,Infinity,24.446,Infinity,23.826,Infinity,24.225,Infinity,24.311,Infinity,24.556,Infinity,24.489,Infinity,23.795,Infinity,24.749,Infinity,24.241,Infinity,24.049,Infinity,24.59,Infinity,23.902,Infinity,24.542,501.8064987811583,24.191,Infinity,24.742,Infinity,24.189,Infinity,24.577,Infinity,24.064,Infinity,25.23,Infinity,24.301,Infinity,24.384,Infinity,23.957,Infinity,24.456,Infinity,24.279,Infinity,24.19,Infinity,24.282,Infinity,24.257,Infinity,24.33,579.9881117335826,24.015,Infinity,24.146,Infinity,24.075,Infinity,24.049,Infinity,24.213,Infinity,24.341,Infinity,24.207,526.3998081581069,23.913,Infinity,24.213,Infinity,24.294,Infinity,23.967,Infinity,24.349,Infinity,24.175,Infinity,24.214,Infinity,24.46,Infinity,24.373,Infinity,24.998,Infinity,23.995,Infinity,24.172,Infinity,25.216,Infinity,24.373,Infinity,24.655,Infinity,24.305,Infinity,24.794,Infinity,24.389,Infinity,24.126,Infinity,24.156,Infinity,24.579,Infinity,24.023,Infinity,23.877,Infinity,24.356,Infinity,24.167,Infinity,24.417,Infinity,24.324,Infinity,24.456,Infinity,24.315,Infinity,24.255,Infinity,24.28,Infinity,24.157,Infinity,24.565,528.2292980704093,25.261,Infinity,24.216,Infinity,24.655,Infinity,24.474,Infinity,24.163,Infinity,24.431,Infinity,24.539,Infinity,24.567,Infinity,24.3,Infinity,24.668,547.3404528538767,23.952,Infinity,24.709,Infinity,24.302,Infinity,24.065,518.2561463292734,24.224,Infinity,24.185,Infinity,24.187,Infinity,24.159,Infinity,24.385,Infinity,24.465,Infinity,24.215,Infinity,24.314
