Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time
Infinity,23.964,Infinity,24.381,Infinity,23.918,Infinity,24.017,Infinity,23.934,Infinity,24.312,Infinity,24.28,Infinity,24.546,Infinity,24.519,Infinity,23.843,Infinity,24.077,Infinity,24.062,Infinity,25.018,Infinity,25.191,Infinity,24.494,Infinity,24.498,Infinity,23.908,Infinity,24.51,Infinity,24.869,Infinity,24.343,Infinity,24.728,Infinity,24.24,Infinity,24.368,Infinity,24.219,Infinity,23.931,Infinity,24.807,Infinity,24.602,Infinity,24.452,Infinity,24.328,Infinity,24.061,Infinity,24.99,Infinity,24.908,Infinity,24.623,Infinity,23.91,Infinity,24.097,530.5164199529845,24.416,Infinity,24.127,Infinity,24.415,580.6555057001445,24.715,Infinity,24.613,Infinity,24.034,Infinity,24.337,Infinity,24.355,Infinity,24.303,Infinity,24.318,526.5701350838925,24.311,Infinity,24.349,Infinity,24.322,Infinity,24.583,Infinity,24.252,Infinity,24.694,Infinity,24.721,Infinity,24.528,Infinity,24.697,Infinity,24.64,Infinity,23.763,Infinity,24.035,Infinity,24.414,Infinity,24.258,Infinity,24.089,Infinity,23.96,Infinity,24.203,Infinity,24.561,Infinity,23.89,Infinity,24.54,Infinity,24.781,Infinity,24.538,Infinity,24.913,Infinity,24.346,Infinity,24.411,Infinity,24.268,Infinity,24.362,Infinity,23.826,Infinity,23.997,Infinity,24.225,Infinity,24.074,Infinity,24.009,Infinity,24.22,Infinity,24.78,Infinity,23.685,Infinity,24.275,Infinity,24.891,Infinity,23.933,Infinity,24.121,Infinity,23.855,Infinity,24.747,Infinity,23.849,Infinity,25.014,Infinity,24.453,Infinity,24.466,Infinity,23.899,Infinity,24.211,Infinity,23.807,Infinity,24.612,Infinity,24.206,Infinity,24.165,Infinity,24.549,Infinity,24.224,Infinity,24.693,Infinity,24.365
Infinity,24.81,Infinity,24.155,Infinity,23.813,Infinity,23.763,Infinity,23.857,Infinity,24.914,Infinity,24.155,Infinity,23.909,Infinity,24.765,Infinity,24.313,Infinity,24.616,Infinity,24.984,Infinity,24.148,Infinity,24.561,Infinity,23.785,Infinity,24.818,Infinity,23.671,Infinity,23.849,Infinity,24.919,Infinity,23.998,Infinity,24.371,Infinity,23.503,Infinity,24.333,501.3831481659178,24.18,Infinity,24.743,Infinity,24.234,534.479898707597,24.344,Infinity,25.301,Infinity,24.271,Infinity,24.059,Infinity,24.987,Infinity,24.063,Infinity,24.746,Infinity,24.539,Infinity,24.596,529.9132985004532,24.361,Infinity,24.991,Infinity,24.194,Infinity,24.402,Infinity,24.297,Infinity,23.908,Infinity,24.087,Infinity,23.949,Infinity,24.613,Infinity,24.673,Infinity,23.955,Infinity,25.307,Infinity,24.527,Infinity,24.456,Infinity,24.507,Infinity,24.511,Infinity,24.86,Infinity,24.344,Infinity,24.307,Infinity,24.03,Infinity,24.705,Infinity,24.125,Infinity,24.272,Infinity,24.534,Infinity,23.904,Infinity,24.368,Infinity,24.382,Infinity,24.108,Infinity,24.667,Infinity,24.125,512.7713709254172,24.388,Infinity,24.146,Infinity,24.241,Infinity,24.065,Infinity,24.548,Infinity,24.293,Infinity,23.964,Infinity,23.884,Infinity,24.993,Infinity,23.763,Infinity,24.102,Infinity,23.985,Infinity,24.142,527.1851390520369,23.928,Infinity,24.033,Infinity,24.273,Infinity,23.781,Infinity,24.548,Infinity,23.816,Infinity,23.9,Infinity,24.89,Infinity,23.878,Infinity,24.221,545.524885570757,23.601,Infinity,24.905,Infinity,24.46,Infinity,24.066,Infinity,24.35,Infinity,25.036,Infinity,23.806,Infinity,24.36,Infinity,24.001,Infinity,24.473,Infinity,24.201,Infinity,24.486
Infinity,24.028,Infinity,24.884,549.2313360544064,23.666,Infinity,24.074,Infinity,23.963,Infinity,24.128,Infinity,25.073,Infinity,24.344,Infinity,24.118,Infinity,24.923,Infinity,24.369,Infinity,23.8,Infinity,24.525,Infinity,24.657,Infinity,23.85,Infinity,24.297,Infinity,24.719,Infinity,24.146,Infinity,24.277,Infinity,23.944,Infinity,24.164,Infinity,23.822,Infinity,24.086,504.765294347516,25.156,Infinity,24.401,Infinity,24.16,Infinity,24.377,Infinity,23.593,Infinity,23.568,Infinity,24.068,Infinity,24.172,Infinity,24.138,Infinity,24.57,Infinity,23.945,Infinity,25.073,529.5055674572188,24.057,Infinity,24.72,Infinity,24.756,579.6973574541837,23.84,Infinity,24.692,Infinity,24.14,Infinity,24.417,Infinity,23.857,Infinity,24.113,Infinity,24.446,524.5491018012251,23.92,Infinity,24.385,Infinity,24.283,Infinity,24.192,Infinity,24.142,Infinity,24.142,Infinity,24.488,Infinity,24.292,Infinity,24.243,Infinity,24.143,Infinity,24.866,Infinity,25.54,Infinity,25.325,Infinity,24.381,Infinity,23.814,Infinity,24.733,Infinity,24.132,Infinity,24.09,Infinity,23.978,Infinity,24.971,Infinity,24.582,Infinity,24.199,Infinity,23.411,Infinity,23.656,Infinity,24.173,Infinity,23.959,Infinity,24.315,Infinity,24.931,Infinity,25.15,519.8852831853931,24.12,Infinity,24.178,Infinity,24.517,Infinity,23.968,Infinity,25.885,Infinity,24.19,Infinity,24.218,Infinity,23.949,Infinity,24.506,Infinity,24.162,Infinity,25.558,Infinity,24.652,Infinity,24.294,Infinity,24.114,Infinity,23.782,525.4040654453518,24.195,Infinity,24.447,Infinity,24.18,514.4301990092298,24.357,Infinity,24.411,Infinity,23.718,Infinity,24.471,521.3247480107414,24.222,Infinity,24.826,Infinity,24.47,Infinity,24.749
Infinity,23.696,Infinity,23.995,Infinity,24.175,523.1726696118286,24.299,Infinity,24.421,Infinity,24.177,Infinity,24.474,Infinity,24.339,Infinity,24.894,Infinity,23.939,Infinity,23.848,Infinity,25.38,Infinity,24.067,Infinity,23.993,Infinity,24.094,Infinity,24.7,Infinity,24.164,Infinity,24.881,Infinity,23.949,Infinity,24.072,Infinity,23.654,Infinity,24.104,Infinity,23.75,501.051840771024,23.903,Infinity,24.425,Infinity,25.084,Infinity,23.79,Infinity,24.093,Infinity,24.443,Infinity,24.259,Infinity,24.682,526.7167955335777,23.964,Infinity,24.397,498.8049405054975,24.127,Infinity,24.613,Infinity,24.319,Infinity,23.628,543.6283888282624,24.449,579.6285268680407,23.922,Infinity,24.69,Infinity,24.499,Infinity,24.157,Infinity,24.374,Infinity,24.027,Infinity,24.217,525.7105074181583,24.332,Infinity,23.979,Infinity,24.127,Infinity,24.261,Infinity,24.859,Infinity,24.156,Infinity,24.202,Infinity,23.941,Infinity,24.12,Infinity,23.329,Infinity,24.371,Infinity,23.674,Infinity,24.257,Infinity,24.825,Infinity,24.594,Infinity,24.36,Infinity,24.855,Infinity,23.743,Infinity,23.732,Infinity,24.049,Infinity,24.218,Infinity,23.983,Infinity,23.901,Infinity,24.728,Infinity,24.589,Infinity,23.977,Infinity,24.312,Infinity,24.015,Infinity,24.283,Infinity,23.722,Infinity,24.024,Infinity,24.141,Infinity,24.567,527.9150612264108,24.27,Infinity,24.472,Infinity,24.05,Infinity,24.097,Infinity,24.691,Infinity,24.595,Infinity,24.377,Infinity,24.198,Infinity,24.592,Infinity,24.091,543.11177629156,24.016,Infinity,23.716,Infinity,23.737,Infinity,24.048,515.9409804719115,24.503,516.363303776585,24.957,Infinity,24.512,Infinity,24.394,Infinity,24.231,Infinity,24.198,Infinity,23.689,Infinity,23.781
Infinity,24.357,Infinity,24.039,Infinity,24.131,Infinity,24.369,Infinity,24.303,Infinity,24.091,Infinity,24.783,Infinity,23.856,Infinity,24.867,Infinity,24.215,Infinity,24.505,Infinity,23.807,Infinity,24.576,Infinity,24.062,Infinity,24.003,Infinity,24.311,Infinity,23.598,Infinity,24.497,Infinity,23.966,Infinity,23.878,Infinity,23.62,Infinity,25.03,Infinity,24.638,502.6311023976385,24.294,Infinity,24.211,Infinity,24.192,534.2312949378003,23.917,Infinity,23.643,Infinity,24.234,Infinity,24.748,Infinity,24.862,524.9879441552454,23.985,Infinity,24.108,Infinity,24.931,Infinity,24.244,Infinity,23.904,Infinity,24.417,Infinity,24.758,579.6334788041131,23.992,Infinity,23.908,Infinity,24.031,Infinity,23.968,Infinity,24.218,Infinity,25.009,Infinity,24.23,526.749248943177,24.399,Infinity,23.792,Infinity,23.352,Infinity,24.465,Infinity,23.894,Infinity,23.587,Infinity,24.074,Infinity,23.82,Infinity,24.517,Infinity,24.478,Infinity,25.042,Infinity,24.525,577.9338300661382,24.142,Infinity,24.081,Infinity,23.849,Infinity,24.6,Infinity,24.797,Infinity,24.089,Infinity,24.953,Infinity,24.28,Infinity,24.414,Infinity,24.023,Infinity,24.201,Infinity,23.932,Infinity,24.465,Infinity,24.658,Infinity,24.877,Infinity,24.467,Infinity,24.264,Infinity,24.235,542.0792645527287,24.27,Infinity,24.597,Infinity,24.387,Infinity,24.343,Infinity,24.241,Infinity,25.001,Infinity,24.378,Infinity,24.003,Infinity,24.125,Infinity,25.105,Infinity,23.816,Infinity,24.068,Infinity,23.695,544.3023200944206,23.614,Infinity,24.52,Infinity,23.904,Infinity,23.907,516.2893184634515,24.153,Infinity,24.692,Infinity,24.273,Infinity,24.028,521.4237731192272,24.538,Infinity,24.531,Infinity,24.132,Infinity,24.183
Infinity,24.403,Infinity,24.08,Infinity,24.626,Infinity,23.8,Infinity,24.545,Infinity,23.985,Infinity,24.444,Infinity,24.615,Infinity,24.623,Infinity,24.066,Infinity,24.371,Infinity,24.221,Infinity,24.264,Infinity,24.347,Infinity,24.092,Infinity,24.093,Infinity,23.495,Infinity,23.903,Infinity,24.704,Infinity,23.93,Infinity,23.556,Infinity,23.816,Infinity,24.821,501.8064987811583,23.993,Infinity,23.864,Infinity,24.339,Infinity,24.39,Infinity,24.549,Infinity,24.789,Infinity,23.906,Infinity,23.949,Infinity,24.003,Infinity,24.301,Infinity,24.57,Infinity,24.533,Infinity,24.445,Infinity,23.851,Infinity,24.545,579.9881117335826,24.401,Infinity,24.256,Infinity,23.596,Infinity,24.531,Infinity,24.22,Infinity,24.171,Infinity,24.117,526.3998081581069,24.228,Infinity,24.795,Infinity,23.973,Infinity,24.014,Infinity,24.267,Infinity,24.651,Infinity,24.267,Infinity,24.132,Infinity,24.66,Infinity,24.869,Infinity,23.736,Infinity,24.408,Infinity,24.812,Infinity,24.148,Infinity,23.793,Infinity,24.412,Infinity,24.347,Infinity,24.573,Infinity,24.15,Infinity,24.328,Infinity,24.445,Infinity,23.997,Infinity,23.569,Infinity,24.556,Infinity,24.307,Infinity,24.335,Infinity,24.328,Infinity,24.558,Infinity,23.992,Infinity,24.145,Infinity,24.04,Infinity,23.732,Infinity,24.999,528.2292980704093,24.377,Infinity,23.725,Infinity,24.209,Infinity,24.186,Infinity,24.88,Infinity,24.15,Infinity,23.874,Infinity,24.129,Infinity,24.014,Infinity,24.93,547.3404528538767,23.868,Infinity,24.388,Infinity,23.901,Infinity,23.899,518.2561463292734,24.056,Infinity,23.995,Infinity,23.942,Infinity,24.712,Infinity,24.325,Infinity,24.512,Infinity,24.896,Infinity,23.905
